OID_,giga_school_id,latitude,longitude,hex8,percent_3g,percent_4g,percent_2g,Included,Predicted,StdError
8609,G_NGA_033880,6.2459633,7.474997,8858d6c431fffff,39.44,33.07,27.5,Yes,33.02458566,0.034022643
8610,G_NGA_034008,6.249574,7.47061,8858d6c43dfffff,39.52,32.98,27.5,Yes,32.97352707,0.035177312
8611,G_NGA_034112,6.575223,7.536496,8858d6919dfffff,40.19,34.04,25.77,Yes,34.00379892,0.055642973
8612,G_NGA_034962,6.686648333,7.335756667,8858896609fffff,40.39,34.44,25.17,Yes,34.435224,0.037716589
8613,G_NGA_035085,6.982666,7.496532,885889354bfffff,40.4,34.23,25.37,Yes,34.24516803,0.037504425
8614,G_NGA_035106,6.94055,7.452706,8858892241fffff,40.34,34.36,25.3,Yes,34.35783461,0.040137166
8615,G_NGA_035447,6.949486667,7.423915,88588931d7fffff,40.43,34.52,25.05,Yes,34.51179104,0.037424445
8617,G_NGA_035540,6.690301,7.705049,8858d459e5fffff,40.06,34.3,25.64,Yes,34.28262193,0.061137104
8618,G_NGA_036052,6.867146667,7.392745,88588938d5fffff,40.48,34.11,25.41,Yes,34.10938647,0.026998424
8619,G_NGA_036489,6.260425,7.267462,8858d6c323fffff,39.49,33.37,27.14,Yes,33.38085546,0.031089731
8620,G_NGA_036645,6.85303,7.4332117,8858892143fffff,40.14,34.45,25.41,Yes,34.39336009,0.034274724
8621,G_NGA_036648,6.8278,7.59398,8858892507fffff,40.16,34.28,25.55,Yes,34.28495209,0.049620545
8622,G_NGA_036888,6.259896667,7.350843333,8858d6c013fffff,39.48,33.17,27.35,Yes,33.16771547,0.059118437
8623,G_NGA_036906,6.292971,7.373502,8858d6c295fffff,39.62,33.27,27.11,Yes,33.28333369,0.031578567
8725,G_NGA_008657,6.073214,6.981691,88588b31a3fffff,38.53,34.22,27.26,Yes,34.17586265,0.041220159
8726,G_NGA_008938,6.691065,6.961593,88588945e5fffff,39.97,35.5,24.54,Yes,35.50234095,0.046414761
8727,G_NGA_009110,6.052775,6.868647,88588b3b53fffff,38.44,33.96,27.61,Yes,33.90308373,0.030188002
8728,G_NGA_009156,6.11688,6.829087,88588b05cbfffff,39.08,33.96,26.96,Yes,33.95085306,0.032470102
8730,G_NGA_009857,6.123087,6.788709,88588b0551fffff,39.74,33.33,26.93,Yes,33.36632647,0.023033978
8731,G_NGA_010384,6.243685,6.961937,88588ba893fffff,39.27,34.66,26.07,Yes,34.76180791,0.05199032
8807,G_NGA_029062,6.04713,7.69918,8858d60a97fffff,39.77,32.24,27.99,Yes,32.21374672,0.048927068
8831,G_NGA_033817,6.14831,7.515748333,8858d61b3bfffff,39.29,32.68,28.03,Yes,32.66678929,0.041421615
8832,G_NGA_033839,6.052337,7.653303,8858d60ae1fffff,39.67,32.28,28.05,Yes,32.24312413,0.057272793
8833,G_NGA_033960,6.25830262,7.47259391,8858d6c403fffff,39.64,32.84,27.53,Yes,32.89654762,0.037671581
8834,G_NGA_034090,6.4813267,7.5186017,8858d69897fffff,39.61,33.5,26.89,Yes,33.42843606,0.022551716
8835,G_NGA_034183,6.481113333,7.535845,8858d68145fffff,39.83,33.49,26.68,Yes,33.50725489,0.026750471
8836,G_NGA_034194,6.4773267,7.59035,8858d681c9fffff,39.73,33.99,26.27,Yes,33.99495371,0.026537618
8837,G_NGA_034595,6.411599,7.48855,8858d68b53fffff,39.53,32.77,27.71,Yes,32.88144213,0.021517411
8838,G_NGA_035001,6.701965,7.329749,8858896649fffff,40.4,34.44,25.16,Yes,34.43778473,0.032838096
8839,G_NGA_035360,6.893926667,7.438716667,885889231dfffff,40.37,34.18,25.45,Yes,34.19713548,0.034476611
8841,G_NGA_035851,6.302096667,7.562226667,8858d61359fffff,39.64,33.2,27.16,Yes,33.20743654,0.03381233
8842,G_NGA_035878,6.322604,7.571387,8858d61269fffff,39.66,33.4,26.93,Yes,33.4032463,0.03773611
8843,G_NGA_035892,6.361538333,7.56934,8858d688e3fffff,39.5,33.55,26.96,Yes,33.55314609,0.051875323
8844,G_NGA_036140,6.77759,7.50536,8858892f43fffff,40.33,34.15,25.52,Yes,34.1376697,0.058414737
8845,G_NGA_036308,6.838382,7.38685,88588938abfffff,40.57,34,25.44,Yes,34.04707324,0.029931715
8846,G_NGA_036629,6.87102,7.47716,8858892001fffff,40.34,34.2,25.46,Yes,34.19207179,0.032219229
8847,G_NGA_036769,6.485388333,7.375691667,8858896c93fffff,40.26,34.46,25.28,Yes,34.44015382,0.044761384
8848,G_NGA_036992,6.81236,7.158527,8858890d37fffff,40.25,34.92,24.82,Yes,34.9104442,0.039565491
8849,G_NGA_037010,6.839128333,7.284921667,885889390dfffff,40.39,34.79,24.82,Yes,34.77549757,0.042739475
8850,G_NGA_037026,6.745738,7.212148,8858897723fffff,40.51,34.7,24.79,Yes,34.72661782,0.043700763
8851,G_NGA_037115,6.743012,7.222336,8858897735fffff,40.48,34.71,24.81,Yes,34.72025676,0.058699063
9216,G_NGA_008780,6.241817,7.058614,88588bace7fffff,39.12,34.34,26.54,Yes,34.35441576,0.04175309
9217,G_NGA_008802,6.22729,7.08472,88588bacb5fffff,38.64,34.12,27.24,Yes,34.17967897,0.03602164
9218,G_NGA_008905,6.525456,7.008463,88588bb451fffff,39.82,35.34,24.83,Yes,35.30225244,0.044584433
9219,G_NGA_008931,6.604473,6.94914,8858894ce7fffff,39.92,35.48,24.6,Yes,35.47780759,0.030923313
9220,G_NGA_008960,6.17263,6.920317,88588b3357fffff,38.71,34.97,26.32,Yes,34.90742896,0.031972346
9221,G_NGA_009272,6.04688,6.950655,88588b3ab9fffff,38.76,33.82,27.42,Yes,33.85269713,0.03131915
9222,G_NGA_009546,6.159598,6.99271,88588b32a1fffff,38.79,34.42,26.79,Yes,34.41519643,0.03076073
9224,G_NGA_009914,6.140926531,6.798850866,88588b0461fffff,40.63,33.04,26.33,Yes,33.2256841,0.025246522
9225,G_NGA_010094,6.139116,6.770641,88588b0735fffff,39.11,33.36,27.53,Yes,33.30765092,0.028938163
9226,G_NGA_010095,6.12859,6.78506,88588b055dfffff,39.73,33.25,27.02,Yes,33.25238885,0.021228503
9227,G_NGA_010118,6.134158,6.787201,88588b0559fffff,40.26,32.98,26.76,Yes,33.1013752,0.020982261
9228,G_NGA_010339,6.258675347,6.923158907,88588ba8c7fffff,39.26,35.04,25.7,Yes,35.02723533,0.031371221
9311,G_NGA_028964,6.036445,7.720701,8858d60f0dfffff,39.72,32.13,28.15,Yes,32.14407143,0.043093793
9334,G_NGA_033917,6.190561,7.490885,8858d6c5b1fffff,39.25,32.9,27.85,Yes,32.86586692,0.050808963
9335,G_NGA_034732,6.438196667,7.263698333,8858d6d2cbfffff,40.25,34.34,25.41,Yes,34.32937893,0.041979618
9336,G_NGA_034800,6.355082,7.187383,8858d6d10dfffff,40.02,34.08,25.9,Yes,34.11430806,0.051547194
9337,G_NGA_034849,6.41451,7.13957,88588ba695fffff,39.98,34.48,25.53,Yes,34.48947107,0.046578569
9338,G_NGA_035121,6.969055,7.532523333,8858893427fffff,40.41,34.23,25.36,Yes,34.23962902,0.036318904
9339,G_NGA_035126,6.953566667,7.474746667,8858893565fffff,40.3,34.31,25.38,Yes,34.2914788,0.033865682
9340,G_NGA_035265,6.990012,7.396506,8858893001fffff,40.32,34.61,25.08,Yes,34.64700227,0.042223569
9342,G_NGA_035633,6.215308,7.660093,8858d610a7fffff,39.78,32.9,27.32,Yes,32.90126969,0.035543115
9343,G_NGA_035791,6.173223333,7.636195,8858d60341fffff,39.74,32.69,27.57,Yes,32.70172328,0.042937785
9344,G_NGA_035886,6.335288333,7.523606667,8858d689e9fffff,39.44,33.13,27.44,Yes,33.10198185,0.038695706
9345,G_NGA_035967,6.80058,7.430856,8858892a13fffff,40.39,34.23,25.37,Yes,34.23705417,0.037252763
9346,G_NGA_036075,6.821206667,7.391908333,8858892a41fffff,40.47,34.18,25.35,Yes,34.17672145,0.030860728
9347,G_NGA_036263,6.84373,7.401696667,88588938bbfffff,40.51,33.94,25.55,Yes,33.98528318,0.02873274
9348,G_NGA_036364,6.08247,7.37096,8858d6cd35fffff,39.43,32.76,27.81,Yes,32.79555711,0.052284516
9349,G_NGA_036564,6.848303,7.46973,8858892025fffff,40.3,34.14,25.56,Yes,34.18699254,0.031076237
9350,G_NGA_036784,6.60251,7.343018333,8858896425fffff,40.47,34.47,25.06,Yes,34.47901204,0.045729901
9351,G_NGA_036873,6.428405,7.442856667,8858d699a5fffff,40.38,33.73,25.9,Yes,33.69614402,0.030774144
9352,G_NGA_036921,6.58923,7.32439,8858896503fffff,40.4,34.59,25,Yes,34.59393456,0.043155887
9353,G_NGA_036991,6.724713,6.982562,8858894435fffff,39.94,35.43,24.63,Yes,35.43391146,0.051351727
9475,G_NGA_008646,6.110616,7.036118,88588b30bbfffff,38.53,33.97,27.51,Yes,33.9892865,0.03309616
9476,G_NGA_008736,6.372411,7.106367,88588ba43bfffff,39.59,34.6,25.81,Yes,34.55807673,0.053794847
9478,G_NGA_009545,6.184702,6.977252,88588b32e9fffff,38.82,34.61,26.57,Yes,34.60771499,0.033644965
9479,G_NGA_010086,6.130924,6.786005,88588b0559fffff,39.95,33.29,26.76,Yes,33.18668653,0.02047886
9581,G_NGA_028346,6.260509,7.726007,8858d61733fffff,39.52,33.36,27.12,Yes,33.36847801,0.037547267
9606,G_NGA_033746,6.125258716,7.524538499,8858d6195bfffff,39.38,32.6,28.02,Yes,32.59745127,0.031331532
9607,G_NGA_033983,6.0766358,7.4488,8858d65669fffff,39.34,32.76,27.9,Yes,32.78445805,0.039352814
9608,G_NGA_034096,6.477127799,7.490168536,8858d698abfffff,40.17,33.19,26.64,Yes,33.24912911,0.030960674
9609,G_NGA_034291,6.57093,7.418355,8858d69a43fffff,40.21,34.32,25.47,Yes,34.31031474,0.042646227
9610,G_NGA_034296,6.45758,7.543355,8858d68129fffff,39.51,33.38,27.11,Yes,33.41891204,0.026993013
9611,G_NGA_034570,6.383588333,7.521806667,8858d6880dfffff,39.68,32.68,27.64,Yes,32.73958418,0.036059509
9613,G_NGA_035875,6.319396,7.605611,8858d6120bfffff,39.61,33.53,26.87,Yes,33.50276217,0.046729093
9614,G_NGA_035912,6.274485,7.530505,8858d61365fffff,39.5,33.02,27.49,Yes,32.99070916,0.041299735
9615,G_NGA_036407,6.143596667,7.37203,8858d6cc6dfffff,39.42,33.02,27.56,Yes,33.01286929,0.03662467
9616,G_NGA_036612,6.8931,7.56953,8858892709fffff,40.16,34.44,25.4,Yes,34.40402255,0.039912159
9617,G_NGA_036739,6.359801,7.400043,8858d6d433fffff,39.98,33.75,26.27,Yes,33.72378173,0.051050048
9618,G_NGA_036930,6.566363,7.251405,8858896197fffff,40.37,34.7,24.93,Yes,34.69865842,0.056164443
9619,G_NGA_036976,6.809851,7.112737,885889720bfffff,40.06,35.12,24.82,Yes,35.07874932,0.075156985
9620,G_NGA_037045,6.734097,7.01267,88588944ebfffff,40.06,35.29,24.65,Yes,35.30686253,0.033036439
9621,G_NGA_037112,6.7243033,7.19833,8858897097fffff,40.47,34.74,24.8,Yes,34.73548701,0.061568451
9726,G_NGA_008479,6.307696,6.893714,88588baae9fffff,39.48,35.1,25.41,Yes,35.02951767,0.041654318
9727,G_NGA_008909,6.469831,7.0077,88588bb5c1fffff,39.79,35.2,25.01,Yes,35.23964273,0.053818079
9728,G_NGA_008932,6.528091,7.005133,88588bb459fffff,39.87,35.31,24.82,Yes,35.31115265,0.036050432
9729,G_NGA_008935,6.468088,7.004712,88588bb5c1fffff,39.78,35.23,24.99,Yes,35.25112966,0.05309683
9730,G_NGA_008983,6.159090591,6.92923,88588b3311fffff,38.7,34.63,26.67,Yes,34.66350178,0.036087181
9731,G_NGA_009230,6.149521,6.855453,88588b04c9fffff,39.59,34.18,26.24,Yes,34.16354907,0.032078596
9732,G_NGA_009570,6.016332,6.879314,88588b3865fffff,38.41,33.8,27.79,Yes,33.74666248,0.040077843
9733,G_NGA_010202,6.066728,7.094625,88588b22d5fffff,38.64,33.55,27.81,Yes,33.52695944,0.04020456
9850,G_NGA_033742,6.115866667,7.529895,8858d61919fffff,39.38,32.5,28.12,Yes,32.53370905,0.036385252
9851,G_NGA_033818,6.115309,7.59449,8858d618a9fffff,39.43,32.62,27.95,Yes,32.62049394,0.048161999
9852,G_NGA_033871,6.109931667,7.613598333,8858d618b9fffff,39.59,32.63,27.79,Yes,32.61037315,0.03373224
9853,G_NGA_033887,6.110245268,7.511195183,8858d61909fffff,39.17,32.71,28.12,Yes,32.67727286,0.035579004
9854,G_NGA_033926,6.063219,7.480599,8858d65607fffff,39.27,32.69,28.04,Yes,32.69591594,0.031834649
9855,G_NGA_034118,6.501186,7.61465,8858d68013fffff,39.9,34.2,25.89,Yes,34.18549646,0.050198813
9856,G_NGA_034363,6.42516,7.52435,8858d68a39fffff,39.37,33.08,27.55,Yes,33.09409425,0.026760749
9857,G_NGA_034462,6.440891667,7.48912,8858d68a69fffff,39.22,33.24,27.53,Yes,33.16733736,0.026404004
9858,G_NGA_034699,6.405555,7.501533333,8858d68b1bfffff,39.45,32.88,27.67,Yes,32.82403969,0.024724046
9859,G_NGA_034969,6.707489,7.323071,88588974a3fffff,40.42,34.43,25.15,Yes,34.45243503,0.032973955
9862,G_NGA_035564,6.727866667,7.74039,8858d458e5fffff,40,34.41,25.59,Yes,34.41132506,0.050435086
9863,G_NGA_035691,6.168531667,7.635275,8858d60347fffff,39.76,32.65,27.59,Yes,32.69362769,0.045149597
9864,G_NGA_035932,6.326235,7.547438333,8858d68987fffff,39.84,33.22,26.93,Yes,33.19959849,0.040657351
9865,G_NGA_035937,6.261862,7.526638,8858d6c4d1fffff,39.51,32.97,27.51,Yes,32.97025462,0.040578203
9866,G_NGA_036022,6.81367,7.450395,8858892135fffff,40.33,34.26,25.41,Yes,34.25959905,0.03320377
9867,G_NGA_036291,6.854626667,7.383485,8858893881fffff,40.32,34.14,25.54,Yes,34.12223164,0.02597882
9868,G_NGA_036552,6.838199,7.670509,88588924a9fffff,40.07,34.48,25.45,Yes,34.43398617,0.050158243
9869,G_NGA_036623,6.91651,7.51291,88588922c3fffff,40.29,34.04,25.67,Yes,34.06741736,0.033153539
9870,G_NGA_036661,6.806028333,7.56408,8858892e1dfffff,40.32,34.14,25.54,Yes,34.15462867,0.035792959
9871,G_NGA_036807,6.614273333,7.358998333,885889643dfffff,40.48,34.46,25.06,Yes,34.42244869,0.039604353
