longitude,latitude,percent_2g,percent_3g,percent_4g
7.12728,6.02097,27.77322799,38.9144539,33.30356943
7.13728,6.02097,27.77589344,38.897971,33.32147373
7.14728,6.02097,27.77917424,38.87478504,33.34604072
7.15728,6.02097,27.77534042,38.85139901,33.3712255
7.16728,6.02097,27.7996512,38.81149389,33.38493454
7.17728,6.02097,27.80288471,38.81533909,33.37888705
7.18728,6.02097,27.8903593,38.71288882,33.39675188
7.19728,6.02097,27.93899198,38.63668736,33.42432065
7.20728,6.02097,27.92682278,38.61948713,33.45369009
7.21728,6.02097,27.96855073,38.60587314,33.42557612
7.22728,6.02097,27.85698808,38.84748147,33.28795277
7.23728,6.02097,27.92049819,38.85895884,33.21991326
7.24728,6.02097,27.90554205,38.85596418,33.23849377
7.25728,6.02097,27.89206722,38.9191217,33.18881108
7.26728,6.02097,27.85857376,38.99735185,33.14438987
7.27728,6.02097,27.79009648,39.0716884,33.1414671
7.28728,6.02097,27.75379093,39.0831574,33.16266627
7.29728,6.02097,27.78261926,39.08324428,33.13206152
7.30728,6.02097,27.80431494,39.10757639,33.08810867
7.31728,6.02097,27.77482073,39.1508868,33.07625894
7.32728,6.02097,27.79697487,39.19390413,33.01334076
7.33728,6.02097,27.80514635,39.1926886,33.00793551
7.34728,6.02097,27.93895828,39.26780307,32.78872949
7.35728,6.02097,27.93825224,39.26298752,32.79194362
7.36728,6.02097,27.914909,39.29082504,32.78848581
7.37728,6.02097,27.8577783,39.39661957,32.74560213
7.38728,6.02097,27.72110239,39.3531693,32.93294482
7.39728,6.02097,27.72294158,39.35244398,32.93079479
7.40728,6.02097,27.79909226,39.32284073,32.88034337
7.41728,6.02097,28.00270386,39.2806037,32.72464983
7.42728,6.02097,28.03549772,39.26406954,32.7075852
7.43728,6.02097,28.03700591,39.23649704,32.73216568
7.44728,6.02097,28.01066628,39.24966686,32.73655562
7.45728,6.02097,28.00874475,39.2300084,32.75874475
7.46728,6.02097,28.1462832,39.27028381,32.58029138
7.47728,6.02097,28.15684057,39.26315943,32.57644912
7.48728,6.02097,28.01341691,39.31341691,32.67316618
7.49728,6.02097,28.01331861,39.31331861,32.67336278
7.50728,6.02097,28.01326253,39.31326253,32.67347493
7.51728,6.02097,28.0970548,39.47415641,32.4287888
7.52728,6.02097,28.09904967,39.45901998,32.44193034
7.53728,6.02097,28.09312847,39.44538905,32.46148248
7.54728,6.02097,28.08112632,39.45372,32.46515369
7.55728,6.02097,28.04802449,39.57950695,32.37246856
7.56728,6.02097,28.05553701,39.615179,32.32928399
7.57728,6.02097,28.07010491,39.69960036,32.23029473
7.58728,6.02097,28.08072457,39.69683735,32.22007321
7.59728,6.02097,28.08282663,39.70076005,32.21641332
7.60728,6.02097,28.08528751,39.69706874,32.21764375
7.61728,6.02097,28.10320897,39.69414424,32.20264679
7.62728,6.02097,28.20227757,39.74589372,32.05817128
7.63728,6.02097,28.20196429,39.76105508,32.04481073
7.64728,6.02097,28.1300469,39.74011756,32.12981179
7.65728,6.02097,28.11432254,39.71648342,32.16459702
7.66728,6.02097,28.11397333,39.71590822,32.16468713
7.67728,6.02097,28.11204081,39.72404603,32.15964789
7.68728,6.02097,28.16503554,39.79424072,32.04072375
7.69728,6.02097,28.1856779,39.78623407,32.02808803
7.70728,6.02097,28.30502027,39.55960374,32.13537599
7.71728,6.02097,28.32312388,39.54913155,32.12774457
7.72728,6.02097,28.3120752,39.55826579,32.12679009
7.73728,6.02097,28.26399113,39.60865712,32.13
6.74728,6.03097,27.29639537,38.83830231,33.86869352
6.75728,6.03097,27.28826433,38.82194065,33.89465954
6.76728,6.03097,27.28478599,38.82237269,33.89674366
6.77728,6.03097,27.2839654,38.82255416,33.89713875
6.78728,6.03097,27.36918209,38.79376257,33.83705535
6.79728,6.03097,27.36786326,38.79439313,33.83774362
6.80728,6.03097,27.34626771,38.82584591,33.82788638
6.81728,6.03097,27.37046399,38.79612322,33.83341279
6.82728,6.03097,27.49344239,38.66987675,33.83940928
6.83728,6.03097,27.5222679,38.66937167,33.80836043
6.84728,6.03097,27.50734566,38.7363305,33.7558218
6.85728,6.03097,27.60978177,38.72938089,33.65634756
6.86728,6.03097,27.64767197,38.61382585,33.73850217
6.87728,6.03097,27.74339398,38.53663864,33.71996737
6.88728,6.03097,27.81988913,38.51854536,33.66156551
6.89728,6.03097,27.8312651,38.43001059,33.73872431
6.90728,6.03097,27.96814389,38.3337426,33.69856582
6.91728,6.03097,27.75846703,38.48542431,33.75207779
6.92728,6.03097,27.54458863,38.68608442,33.77748152
6.93728,6.03097,27.50836403,38.6232219,33.87478811
6.94728,6.03097,27.52649869,38.66529581,33.8054411
6.95728,6.03097,27.55208525,38.62792467,33.81112501
6.96728,6.03097,27.61017271,38.69494059,33.68802724
6.97728,6.03097,27.59872711,38.68770162,33.71357127
6.98728,6.03097,27.48807977,38.6480153,33.86390493
6.99728,6.03097,27.55952391,38.58237678,33.86762322
7.00728,6.03097,27.64105926,38.54260516,33.81633557
7.01728,6.03097,27.6693545,38.47150744,33.85913805
7.02728,6.03097,27.71026686,38.58600828,33.69620315
7.03728,6.03097,27.79878946,38.59777774,33.60400711
7.04728,6.03097,27.78337167,38.64337204,33.57518301
7.05728,6.03097,27.81929684,38.59953086,33.5811723
7.06728,6.03097,27.86482675,38.48195811,33.65321514
7.07728,6.03097,27.84814525,38.49461367,33.65724107
7.08728,6.03097,27.8342836,38.57282828,33.59288812
